"DGP","True_ATE","Metric","BCF_Linear","BCF_Log","ZIC_BCF_PathA","Tweedie_PathB","Joint_Copula_PathC","Gamma_Hurdle_PathD","Path_C_updated"
"Log-Normal Hurdle",2.64946425036006,"Est ATE Mean",2.38075172366697,3.04223422589019,2.95842692955154,1.14724906450963,1.30506127150885,4.38728468083719,2.8255736743281
"Log-Normal Hurdle",2.64946425036006,"Est ATE SD",0.346213094536005,0.694525856345793,0.401715371343766,0.076622239739489,0.202421441301183,0.995780090393403,0.427672405418237
"Log-Normal Hurdle",2.64946425036006,"CATE RMSE",1.53264633210354,2.17343359392536,2.09027579640129,2.18461162017663,2.88757570917874,5.1959464715835,1.96161789812078
"Log-Normal Hurdle",2.64946425036006,"CATE Abs Bias",0.268712526693087,0.392769975530126,0.308962679191483,1.50221518585043,1.34440297885121,1.73782043047713,0.176109423968039
"Log-Normal Hurdle",2.64946425036006,"CATE 95% Coverage",0.867,0.87,0.95,0.035,0.382,0.859,0.949
"Log-Normal Hurdle",2.64946425036006,"CATE Correlation",0.55327908175765,0.130059723465248,0.391086677621165,0.555677269330894,0.136326879958042,0.0717775254980501,0.406612163330011
"Gaussian Hurdle",1.69778286084579,"Est ATE Mean",1.90221577519732,2.47132308866365,1.99920601323547,1.0144558790826,0.819589892761701,2.0304817410052,1.61351225894112
"Gaussian Hurdle",1.69778286084579,"Est ATE SD",0.201974536972994,0.465696799122485,0.216739123483773,0.0324686914752836,0.0988522212941236,0.376244383810547,0.238724811381782
"Gaussian Hurdle",1.69778286084579,"CATE RMSE",0.451445835076353,1.24781828564454,0.474897123096696,0.83392692961109,1.31142969030534,0.766691384760981,0.362309852149969
"Gaussian Hurdle",1.69778286084579,"CATE Abs Bias",0.204432914351527,0.773540227817852,0.301423152389672,0.683326981763197,0.878192968084094,0.332698880159404,0.0842706019046764
"Gaussian Hurdle",1.69778286084579,"CATE 95% Coverage",0.972,0.946,0.995,0.042,0.418,0.99,0.991
"Gaussian Hurdle",1.69778286084579,"CATE Correlation",0.792770152633349,0.247816743676809,0.797734680786597,0.718188112166467,0.329203797294347,0.511212854827218,0.822355628327587
"Tweedie Compound",7.20904272326316,"Est ATE Mean",7.93834525052662,3.9478821669723,9.85465502912137,1.68118840940103,4.98620217433044,5.16501530691901,7.89041603155577
"Tweedie Compound",7.20904272326316,"Est ATE SD",0.36774621104505,0.540503980211364,1.37065798398059,0.0580080513382663,0.78849972140696,0.917223081677102,1.30780024994977
"Tweedie Compound",7.20904272326316,"CATE RMSE",8.82651729679259,15.8919972091871,7.83881082862268,18.2539050344361,12.7672657544135,18.1886817610053,10.4311510359936
"Tweedie Compound",7.20904272326316,"CATE Abs Bias",0.729302527263465,3.26116055629086,2.64561230585822,5.52785431386213,2.22284054893271,2.04402741634415,0.681373308292613
"Tweedie Compound",7.20904272326316,"CATE 95% Coverage",0.755,0.752,0.989,0.142,0.403,0.733,0.991
"Tweedie Compound",7.20904272326316,"CATE Correlation",0.898860586055856,0.562097574885402,0.925242418114326,0.683943031810127,0.726178364102119,0.229024597142268,0.820761000518949
